표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
소엽	[명사][방언]	NNG	00_00_00	약깨	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소용	[명사][방언]	NNG	00_00_00	 	 	 	 	쇠양	 	 	 	 	 	 	 	 	 	 	 	 	 
소용돌이	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	고분다리	쇵돌이	 	물골병, 물골뱅, 물골방	 	 	 	 	 	 
소용돌이	[명사][방언]	NNG	00_00_01	 	 	 	 	 	 	 	 	 	 	 	돌개물	돌개물	 	 	 	 	 
소용돌이치다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	쇵돌이치다	 	 	 	 	 	 	 	 
소용없다	[형용사][방언]	VA	00_00_00	 	 	 	소양없다	소영없다	 	 	 	 	 	 	 	 	 	 	 	 	 
소인	[명사][방언]	NNG	00_00_00	 	 	 	 	쇠인	 	 	 	 	 	 	 	 	 	 	 	 	 
소작	[명사][방언]	NNG	00_00_00	 	 	 	 	갈림	 	 	 	 	 	 	 	 	 	 	 	 	 
소작인	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	타순, 터분살이	타순, 터분살이	반재기꾼	반재기꾼	 	 	 	 	 
소주	[명사][방언]	NNG	00_00_00	마어더기, 망어더기, 쇠주, 쏘주, 쐬주	쇠주, 쏘주	쇠주, 쎄주, 쏘주, 쐬주	쎄주, 쏘주, 토재비지름	쇠주, 쇠주래기, 쐐주	쇠주, 쇠주래기, 쏘주, 쐬주	쇠주, 쏘주	쇠주, 수에주, 쉐주, 쏘주	소쥐	쇠주	 	쇠주	 	쇠주	쇠주	 	쏘주	 
소주	[명사][방언]	NNG	05_00_00	 	 	아래기	아래기, 시주	효주	 	 	 	 	 	 	 	 	 	 	 	 	 
소주병	[명사][방언]	NNG	00_00_00	 	 	소주벵	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소죽	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	세죽	 	 	 	 	 	 	 	 	 	 
소죽바가지	[명사][방언]	NNG	00_00_00	 	 	소죽박재이, 소죽박쟁이	소죽바가치, 소죽바강이, 소죽통빼기	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소줏고리	[명사][방언]	NNG	00_00_00	 	 	 	 	소줏고다리	 	 	 	고소리	 	 	 	 	 	 	 	 	 
소지랑물	[명사][방언]	NNG	00_00_00	소오지랑물	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소쩍새	[명사][방언]	NNG	00_00_00	서쪽새, 소뽕새, 소쩡새, 소쪽새, 솥적다새, 써쭉새	소쪽박, 서쭉새, 소쪽새	소쩌기, 담사리새, 뚜꾹새, 서쪽새, 소짝새, 소쭉새, 소찍새, 소축새, 포쭉새	보꼴새, 소짱새, 소찌기, 소총새, 서쪽새, 소짝새, 소쩡새, 소쪽새, 소쫑새, 소쭉새	서쪽새, 소딱쟁이, 소짝새, 소쪽새, 속작새, 수꿍새	소짝새, 소짝재기, 속작새, 수꾹새	소쪽새, 지쪽새	소쪽새, 지쪽새	 	서쩍새	서쩍새, 서쪽새	서쪽새, 솔쩔새, 솔쩡때이, 솔쫑새	서쪽새	 	서쪽새, 소짝새, 소쪽새	서쩍새, 서쪽새	서쪽새, 소쩡새, 소쭉새, 소찍새, 솔쩔새, 솔쩡때이, 솔쫑새	 
소코뚜레	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	소코뚜리	 	 	 	 	 	 	 
소쿠리	[명사][방언]	NNG	00_00_00	소고리, 소구리	도솔기, 쏘고리	봉태기, 소고리, 소구리, 살소구리, 소꾸리, 쏘구리	쏘구리	송쿠리, 소꾸리, 소코리, 소쿠뎅이, 소쿠리때기, 쏘쿠리, 옹뎅이	소꾸리, 소코리, 소쿠리때기, 채소고리, 채소구리	 	소고리, 소고대미, 소쿠대미	 	 	소꾸러미, 소꾸레미	소고리, 써거리	소고리, 써거리	 	 	 	쏘구리	 
소태껍질	[명사][방언]	NNG	00_00_00	소태껍주리, 소태껍지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소태나무	[명사][방언]	NNG	00_00_00	소태낭그, 소태낭기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소포	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	쏘포	쏘포	 	쏘포	 	 	 
소피	[명사][방언]	NNG	00_00_00	 	 	 	 	소페, 쇠피	쇠피	 	 	 	 	 	 	세피	 	 	 	 	 
소피보다	[동사][방언]	VV	00_00_00	 	 	 	 	소피허다	 	 	 	 	 	 	 	 	 	 	 	 	 
소학교	[명사][방언]	NNG	00_00_00	소핵교	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
소행머리	[명사][방언]	NNG	00_00_00	 	 	 	 	소팅이, 소탱이, 쇠탱이	 	 	 	 	 	 	 	 	 	 	 	 	 
속	[명사][방언]	NNG	00_00_00	속알쳉이	 	쏘게, 쏘배기	쏘게	 	 	 	 	솝, 쏘곱, 어울, 어월	 	 	솩	 	 	 	 	 	 
속	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	소곱, 여물	 	 	 	 	 	 	 	 	 
속고개이	[명사][방언]	NNG	00_00_00	 	속고개이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속고갱이	[명사][방언]	NNG	00_00_00	 	 	쏙갱이	속고배이, 속구배기, 속구배이, 혹구갱이	 	 	속고뱅이	 	 	 	속꼬개기	 	속패기	 	 	 	 	 
속고의	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	속가비	속가비	 	 	 	 	 
속곳	[명사][방언]	NNG	00_00_00	 	 	 	 	 	속것	속것	 	소중기, 소중이	 	 	 	 	 	 	 	 	 
속꺼풀	[명사][방언]	NNG	00_00_00	속꺼푸리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속껍데기	[명사][방언]	NNG	00_00_00	 	속껍디기	 	속껍디기, 속껍디리	속껍닥	 	속껍데	속껍디리	 	 	 	 	 	 	 	 	 	 
속껍질	[명사][방언]	NNG	00_00_00	 	 	 	속껍지	 	 	속껍줄	 	 	 	 	 	 	 	 	 	 	 
속내복	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	쏙내복	 	 	 	 	 	 	 	 	 
속내의	[명사][방언]	NNG	00_00_00	 	속냉이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속눈썹	[명사][방언]	NNG	00_00_00	속눈쎂	안눈썹	가문눈섭, 눈꼬시, 눈꼿, 눈꽅, 눈안에눈섭, 쏙눈섭, 쏙눈썹	속눈섶	눈꼿	 	눈촐	눈촐, 속눈쑵	눈터럭, 눈알뚜꿰썹, 알눈썹	 	살눈썹	눈거부지, 눈꺼부지	눈닥사리, 눈사부래, 눈싸부래	 	눈촐	 	눈꺼부지, 쏙눈섭	 
속다	[동사][방언]	VV	00_00_00	쇡이키다	 	쏙다	 	쏙다	 	쏙다	 	쏙다	 	 	 	 	 	 	 	 	 
속닥거리다	[동사][방언]	VV	00_00_00	 	 	 	 	속작기리다	 	 	 	 	 	 	 	 	 	 	 	 	 
속닥속닥	[부사][방언]	MAG	00_00_00	 	 	 	 	속작속작	 	 	 	 	 	 	 	 	 	 	 	 	 
속닥속닥하다	[동사][방언]	VV	00_00_00	 	 	 	 	속작속작허다	 	 	 	 	 	 	 	 	 	 	 	 	 
속닥이다	[동사][방언]	VV	00_00_00	 	 	 	 	속작이다, 쏙댁이다	쏙댁이다	 	 	속댁이다	 	 	 	 	 	 	 	 	 
속대	[명사][방언]	NNG	00_00_00	속대공, 속대궁	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속뜻	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	뛰미	 	 	 	 	 	 
속마음	[명사][방언]	NNG	00_00_00	속맴	 	 	 	 	 	 	 	속마슴	 	 	 	 	 	 	 	 	 
속말	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	솝엣말, 연담엣말, 연심엣말	 	 	 	 	 	 	 	 	 
속모	[명사][방언]	NNG	00_00_00	 	 	 	두모	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속바지	[명사][방언]	NNG	00_00_00	속주우	 	 	 	 	 	 	 	 	 	 	 	가빗도리	 	 	 	 	 
속발톱	[명사][방언]	NNG	00_00_00	 	 	발텁뿌리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속버선	[명사][방언]	NNG	00_00_00	속보선	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속병	[명사][방언]	NNG	00_00_00	 	 	 	쏙병	속애피	속애피	 	 	속벵, 쏙벵	 	 	 	 	 	 	 	 	 
속삭거리다	[동사][방언]	VV	00_00_00	 	 	쏘싹거리다	 	소삭기리다, 속작거리다	 	 	 	 	 	 	 	 	 	 	 	 	 
속삭속삭	[부사][방언]	MAG	00_00_00	 	 	 	 	소삭소삭	 	 	 	 	 	 	 	 	 	 	 	 	 
속삭속삭하다	[동사][방언]	VV	00_00_00	 	 	 	 	소삭소삭허다	 	 	 	 	 	 	 	 	 	 	 	 	 
속삭이다	[동사][방언]	VV	00_00_00	 	 	 	 	쏘색이다, 쏘시랙이다	쏘색이다, 쏘시랙이다	 	 	 	 	 	 	 	 	 	 	 	 
속삭임	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	 	쏙새기	 	 	 	 
속상하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	 	각근굴하다, 갈근굴하다	 	 	 	 	 	 
속상하다	[형용사][방언]	VA	02_00_00	 	 	 	 	 	 	 	 	 	 	 	각굴하다	 	 	 	 	 	 
속새	[명사][방언]	NNG	00_00_00	이딱풀	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속셈	[명사][방언]	NNG	00_00_00	 	 	 	 	보로, 뽀록	 	 	 	구구짝	속헴	 	 	 	 	 	 	 	 
속속들이	[부사][방언]	MAG	00_00_00	 	 	쏙쏙딜이	 	 	 	 	 	솝솝들이	 	 	 	 	 	 	 	 	 
속속이	[부사][방언]	MAG	00_00_00	 	 	 	 	속쇡이	속쇡이	 	 	 	 	 	 	 	 	 	 	 	 
속손톱	[명사][방언]	NNG	00_00_00	 	 	반달손텁	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속옷	[명사][방언]	NNG	00_00_00	속우티	 	 	 	 	 	 	 	안칩	속입성	 	속고지, 속고비, 속고쟁, 속우티, 솝웃	솝옷, 속우티, 속이복	속오데, 속오테, 속오티, 속우테	 	 	 	 
속이다	[동사][방언]	VV	00_00_00	쇡이다	쇡히다	쌔키다, 쏘쿠다, 섹이다, 속후다, 쇡이다, 쎅이다, 쎅히다, 쏙하다, 쐑이다, 쐭이다	깔래다, 시기다, 쇡이다, 식이다, 쐭이다	꼬아먹다, 돌라먹다, 둘려묵다, 쇡이다, 쉭이다	꼬아먹다, 돌라먹다, 쇡이다, 쉭이다	섹이다, 소익이다, 쇡이다, 쐭이다	속후다, 쇡이다, 쏙이다, 쐭이다	쉑이다, 쐑이다, 쒝이다	쇡이다, 쐑이다	쇡히다, 쐬키다, 쇡이다, 쐑이다, 쐑히다	그시다, 얼리다, 쇡이다	그시다, 얼리다, 쇡이다	 	 	 	 	 
속인	[명사][방언]	NNG	01_00_00	 	 	소	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속임낚시	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	나부낚수	 	 	 	 	 	 	 
속임수	[명사][방언]	NNG	00_00_00	쇡임수	 	 	 	 	 	 	 	쉑임수	 	 	 	 	 	 	 	 	 
속임질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	쉑임질	 	 	 	 	 	 	 	 	 
속잎	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	속입, 쏙입	 	 	 	 	 	 	 	 	 
속저고리	[명사][방언]	NNG	00_00_00	 	 	 	 	속저구리	 	 	 	 	 	 	 	 	 	 	 	 	 
속적삼	[명사][방언]	NNG	00_00_00	 	 	 	안복장	 	 	 	 	 	 	 	돌찌	 	 	 	 	돌찌, 안복장	 
속절없다	[형용사][방언]	VA	00_00_00	속절엄따, 속절움따, 속절웂다, 속절음따, 속절읎다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속죄	[명사][방언]	NNG	00_00_00	 	 	 	 	죄닦음	 	 	 	 	 	 	 	 	 	 	 	 	 
속주머니	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	우머니	 	 	 	 	 	 	 	 	 
속치마	[명사][방언]	NNG	00_00_00	속초매	 	 	속처매	속치매	 	 	 	속치매, 속치메	 	 	 	 	 	 	 	 	 
속환이	[명사][방언]	NNG	00_00_00	 	 	 	속한이	 	 	 	 	 	 	 	 	 	 	 	 	 	 
속히	[부사][방언]	MAG	00_00_00	 	 	섹헤, 섹히, 쌔키, 써기, 써끼, 쎅히	섹이	 	 	 	쇡히	 	궐시	궐시	 	 	 	 	 	 	 
솎다	[동사][방언]	VV	00_00_00	 	 	소쿠다, 소카다	 	소쿠다, 소꾸다, 소크다	 	 	 	소꼬다, 소꾸다, 소끄다	 	 	 	 	 	 	 	 	 
솎음배추	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	배채푸쩌리	 	 	 	 	 	 	 
손가늠	[명사][방언]	NNG	00_00_00	 	 	 	 	손가람	 	 	 	 	 	 	 	 	 	 	 	 	 
손가락	[명사][방언]	NNG	00_00_00	손구락, 손고락	 	손고락, 쏜가락	쏜가락	손고락	손고락, 손그락	손구락, 손고락, 손구락지	손고락, 손그락	 	소꾸락, 손구락	손구락	소까락	소까락, 소꾸래기, 손고락, 손구래기	 	소까락, 손고락, 손구래기	 	쏜가락	 
손가락질	[명사][방언]	NNG	00_00_00	손고락질	 	 	 	손구락질	 	 	 	 	 	 	 	 	 	 	 	 	 
손가마	[명사][방언]	NNG	00_00_00	손가매	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손거스러미	[명사][방언]	NNG	00_00_00	 	 	손까시래기, 손까풀, 손꺼시럼, 손지질껍질, 지질껍지	손까시래기	손끄시럼	 	 	 	손거슴, 손거심	 	 	손까스, 손까시, 손꺼스레	 	 	 	 	손까스, 손까시, 손까풀, 손꺼스레, 손지질껍질	 
손거울	[명사][방언]	NNG	00_00_00	 	 	손멘겅, 손멘겡, 손민겅, 주머니멘겡, 주머잇거울	 	개와섹겡, 식겅, 조마니민경	식겅	 	주머니섹경	족은섹경	 	 	 	손섹경	 	 	 	 	 
손겪이	[명사][방언]	NNG	00_00_00	손젞이	 	 	 	 	 	 	 	소님치기	 	 	 	 	 	 	 	 	 
손국수	[명사][방언]	NNG	00_00_00	 	 	 	손국시	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손금	[명사][방언]	NNG	00_00_00	 	 	쏜금	쏜금	손검, 손굼	손검, 손굼	 	 	 	 	 	 	 	 	손검	 	쏜금	 
손금	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	손그믓	 	 	 	 	 	 	 	 	 
손꼽다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	손꼬부리다	 	 	 	 	 	 	 	 	 
손끝	[명사][방언]	NNG	00_00_00	 	 	 	 	손끗	 	손땀	손땀	 	 	 	 	손부부리	 	 	 	 	 
손녀	[명사][방언]	NNG	00_00_00	 	 	솔녀, 쏜녀, 쏠녀	솔녀, 쏠녀	솔네, 솔녀	손녜, 손뇨, 솔녀	 	 	 	손네	손네	손네	손네	 	손네	손네	손네, 솔녀, 쏜녀, 쏠녀	 
손녀딸	[명사][방언]	NNG	00_00_00	 	손주딸	 	 	손지딸	손지딸	 	 	 	 	손주딸	 	 	 	손주딸, 손지딸	손주딸	 	 
손님	[명사][방언]	NNG	00_00_00	 	 	쏜님	쏜님	손네	 	 	 	소님	 	 	 	 	 	 	 	쏜님	 
손님격	[명사][방언]	NNG	00_00_00	 	 	손님겍	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손님마마	[명사][방언]	NNG	00_00_00	큰님	소님마마	소님	소님마마	 	 	 	소님마마	 	 	베슬	 	 	 	 	 	 	 
손님치레	[명사][방언]	NNG	00_00_00	손님치송	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손더듬이	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	손만지금, 손언짐, 손만짐	 	손새미	 	 	 	 	 	 	 
손도끼	[명사][방언]	NNG	00_00_00	손도치	 	 	 	 	 	 	 	 	 	손도꾸	 	 	 	 	손도꾸	 	 
손독	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	손톡	 	손도궃	 	 	 	 	 	 	 
손등	[명사][방언]	NNG	00_00_00	 	 	쏜덕, 쏜덩더리, 쏜디이	손등더리, 손등어리, 손딩이	손등거리	 	손덩	손덩	손등어리	 	 	 	손드	 	손덩, 손드	 	손등어리, 손딩이, 쏜덕, 쏜덩더리, 쏜디이	 
손뜨겁다	[형용사][방언]	VA	00_00_00	손뜨굽다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손마디	[명사][방언]	NNG	00_00_00	손마두, 손매두	 	 	 	 	 	 	손매디	 	 	 	 	 	 	 	 	 	 
손모가지	[명사][방언]	NNG	00_00_00	손모강지, 손목쟁이, 손목지이	 	손모간지, 손목대기, 손목대이, 손목때기, 손묵대기, 손묵대이, 손묵디	손목디	손목댕이, 손목때기	손목때기	손모감지	 	장모개기, 장목다리	 	손묵째기	 	 	손목재, 손목재이	 	 	 	 
손목	[명사][방언]	NNG	00_00_00	 	손묵	쏜목	손묵	 	 	 	 	홀메기, 홀목, 손모개기, 손모갱기	 	 	 	 	 	손모기	 	쏜목	 
손목시계	[명사][방언]	NNG	00_00_00	팔시게, 팔뚝시게	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손바구니	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	송동구덕	 	 	 	 	 	 	 	 	 
손바닥	[명사][방언]	NNG	00_00_00	 	 	손바대기, 손바딱, 손부덕, 쏜바닥	손바댁	손부닥, 손브닥	 	 	 	 	 	 	 	손바댁	 	손바댁	 	손바대기, 쏜바닥	 
손버릇	[명사][방언]	NNG	00_00_00	손버르쟁이, 손버리쟁이	 	 	손버르장머리, 손버르재이	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손부끄럽다	[형용사][방언]	VA	00_00_00	손부꾸룹다	 	 	 	 	 	 	 	손부치럽다	 	 	 	 	 	 	 	 	 
손부리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	손보리, 손봉오지	 	 	 	 	 	 	 	 	 
손뼉	[명사][방언]	NNG	00_00_00	손뻭	 	손빡, 손뻭, 손삑	손뻭, 손삑	손뻭	 	 	 	손뻭	 	 	손펵	손펵	 	 	 	 	 
손서	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	손쉐	 	 	 	 	 
손섹게이	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	손섹게이	 	 	 	 	 
손수	[부사][방언]	MAG	00_00_00	 	 	 	 	선차러, 손세이, 손쉬, 제나	손수껏	 	 	 	 	 	 	 	 	 	 	 	 
손수건	[명사][방언]	NNG	00_00_00	 	 	쏜수건	쏜수건	 	 	 	 	손수권	 	 	손수권	손수권, 순슈권	 	손수권, 순슈권	 	쏜수건	 
손수레꾼	[명사][방언]	NNG	00_00_00	 	 	 	니아까꾼	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손쉽다	[형용사][방언]	VA	00_00_00	 	 	손숩다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손실	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	해재	 	 	 	 	 	 	 
손쓰다	[동사][방언]	VV	00_00_00	 	 	 	손씨다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손아귀	[명사][방언]	NNG	00_00_00	손아구, 손아굼, 손아금지	손마굼	손아구지, 손앙금, 손아우지, 아우지	손아구리	아금지	손아구니, 아구니	 	 	손아금, 손아가리, 손아구셍이, 손아구쟁이, 손아오셍이, 손아우셍이, 손아큼, 손어금, 손케화, 안줴기	 	 	 	 	 	 	 	 	 
손아래	[명사][방언]	NNG	00_00_00	손아리	 	 	 	 	 	 	 	손알	 	 	 	 	 	 	 	 	 
손아랫사람	[명사][방언]	NNG	00_00_00	손아릿사람	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손위	[명사][방언]	NNG	00_00_00	 	 	 	 	손우게	 	 	 	 	 	 	 	 	 	 	 	 	 
손윗사람	[명사][방언]	NNG	00_00_00	손웃사람, 손웃사램	 	 	 	손우겟사람	 	 	 	 	 	 	 	 	 	 	 	 	 
손자	[명사][방언]	NNG	00_00_00	 	 	쏜자	쏜자	 	 	 	 	 	 	 	 	손구이	 	 	 	쏜자	 
손자	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	 	손군	 	 	 	 	 
손자국	[명사][방언]	NNG	00_00_00	 	 	 	 	손때꾹, 손때죽	 	 	 	 	 	 	 	 	 	 	 	 	 
손자귀	[명사][방언]	NNG	00_00_00	 	 	 	손자구	 	 	 	 	 	 	속자구	 	 	 	 	 	손자구	 
손자며느리	[명사][방언]	NNG	00_00_00	손주메누리, 손주미누리, 손지미누리	 	손지메누리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손작두	[명사][방언]	NNG	00_00_00	 	 	손짝두	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손잡이	[명사][방언]	NNG	00_00_00	 	 	 	손집이	손잽이	손잽이	 	 	 	 	손걸이	 	쪽잘기	 	 	 	 	 
손장난	[명사][방언]	NNG	00_00_00	 	 	 	 	손노락질	 	 	 	 	 	 	 	 	 	 	 	 	 
손재주	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	손재쥐	 	 	 	 	 	 	 	 	 
손짓	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	손칫	 	 	 	 	 	 	 	 	 
손짭손	[명사][방언]	NNG	00_00_00	 	 	 	 	재락손	 	손잽손	손잽손	거슴손, 거심손	 	 	 	 	 	 	 	 	 
손짭손하다	[동사][방언]	VV	00_00_00	 	 	재작지다	 	 	 	 	 	거슴손하다, 거심손하다	 	 	 	 	 	 	 	 	 
손칼국수	[명사][방언]	NNG	00_00_00	꼴두국시, 손칼국시	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
손톱	[명사][방언]	NNG	00_00_00	손툽	 	손툽, 손팁, 쏜텁	손둡, 손텁, 손툽, 손팁, 쏜텁	손툽	손툽, 손특	손툽	손토비, 손툽	 	손툽	 	 	 	 	 	 	손툽, 쏜텁	 
손톱	[명사][방언]	NNG	01_00_00	 	 	손뜹	 	 	 	 	 	손꼽, 손콥	 	 	 	 	 	 	 	 	 
손톱깎이	[명사][방언]	NNG	00_00_00	손툽깎개, 손툽깎이	 	 	 	손툽깪이, 손틉깪이	손틉깪이	 	 	 	 	 	 	 	 	 	 	 	 
손톱자국	[명사][방언]	NNG	00_00_00	 	 	 	 	손툽자국	 	 	 	손콥그믓, 손톱그믓	 	 	 	 	 	 	 	 	 
손포	[명사][방언]	NNG	00_00_00	 	 	 	 	손데	 	 	 	 	 	 	 	 	 	 	 	 	 
손풀무	[명사][방언]	NNG	00_00_00	 	 	게불미	 	 	 	 	 	똑딱불미, 손불미, 토불미	 	 	 	 	 	 	 	 	 
손해	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	손히	 	 	 	 	 	 	 	 	 
손회목	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	손홀목	 	 	 	 	 	 	 
솔가리	[명사][방언]	NNG	00_00_00	검불, 소갈비, 솔검불, 솔갈루, 솔갈비	솔곰불	깔비, 솔깔비, 솔갈비	소깝뻬까리	소깽, 솔갈비, 솔거리, 솔거울, 솔고불, 솔고울, 솔골, 솔꼬이, 참가리	가루나무, 소깽, 솔갈비, 솔거울	솔가루, 소깽이, 솔가시, 솔개비, 솔거럭, 솔거루, 솔거울, 솔걸, 솔고로, 솔고루, 솔그륵	 	 	솔가래, 솔가래기	솔가래	소꼬불, 소꼬비	 	솔가래기	 	 	 	 
솔가지	[명사][방언]	NNG	00_00_00	소까지, 솔개이	 	솔개이	소깝, 솓가지	 	 	 	솓가지	 	솔갱이	솔갱이	소압	 	 	 	 	 	 
솔개	[명사][방언]	NNG	00_00_00	똥더푸리, 똥뚜재비, 소루개, 소리개미, 솔깽이	홀개미	소내기, 소래기, 소리기, 솔깽이, 솔벤니, 홀개이, 바람제비, 새저래, 소르개, 솔개이, 솔괭이, 솔깨이, 솔배이, 솔밴니, 쏘리개, 쏘리기, 쏠개이, 초구리	소래기, 소리케, 솔뱅이, 까막수리, 살개이, 소리깨, 소리캐, 솔배이, 술개, 쏘리기, 호갱이, 호리깨	솔깽이, 새날쩨이, 새더리, 새차래, 솔가이, 솔깨이, 솔캥이, 송갱이, 수루개, 수리갱이, 술갱이, 쏠개, 쏠갱이	호리개, 소리갱이, 소릭, 솔깨이, 솔꾀이, 솔꾕이, 송꾕이, 호루개, 홀개	소루개, 서리개, 소로개, 쏠개미	소루개	똥더웨기, 똥소로기, 똥수로기, 소레기, 똥소래기, 똥수래기, 똥수리개, 똥수리기, 소로기, 수래기, 수리기	소리개미	소리개미, 술개미	소앞, 솔깽이, 수리개, 닭수리개, 술개, 슬개	솔깽이, 수리개, 닭수리	 	 	 	닭수리개, 쏘리기	 
솔권	[명사][방언]	NNG	00_00_00	 	 	 	솔곤	 	 	 	 	 	 	 	 	 	 	 	 	 	 
솔기	[명사][방언]	NNG	00_00_00	 	 	 	솔대기	 	 	 	 	 	 	숡	 	 	 	 	 	 	 
솔깃이	[부사][방언]	MAG	00_00_00	 	 	 	 	솔긋이	솔긋이	 	 	 	 	 	 	 	 	 	 	 	 
솔깃하다	[형용사][방언]	VA	00_00_00	홀깃하다	 	 	 	솔곳허다, 솔긋허다, 솜근허다	 	 	 	 	 	 	 	 	 	 	 	 	 
솔다	[형용사][방언]	VA	00_00_00	 	 	 	솔부다, 솜다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
솔래솔래	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	 	 	소락소락	 	 	 	 	 	 	 
솔발	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	 	졸발	 	 	 	 
솔방울	[명사][방언]	NNG	00_00_00	솔방구리, 소빵구리, 소빵굴, 솓방굴, 솔딱지이, 솔방굴, 송방구리	소롱지	솔방구, 솔빵알, 소바알, 소방울, 솔바알, 솔밤세이, 솔밤싱이, 솔방알	솔방구리, 송방구리	솔방구, 솔밤제이, 솔밤지이, 솔방굴	 	 	 	소낭망생이, 솔도로기, 소낭또레기, 솔또롱, 솔벵이	솔송이	솔송이	솔바울, 솔셍이, 솔쇵이	솔고두에, 솔바울, 솔셍이, 솔쇠, 솔쇵이	 	솔바우리	 	 	 
솔밭	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	소낭밧, 솔밧, 솔왓	 	 	 	 	 	 	 	 	 
솔불	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	솔칵불	 	 	 	 	 	 	 	 	 
